model-1603541615,1603541618.611,                            0.65,                            0.6409,                            0.62,                            0.6522
model-1603541615,1603541618.65,                            0.47,                            0.7039,                            0.56,                            0.6838
model-1603541615,1603541618.685,                            0.57,                            0.6802,                            0.56,                            0.6758
model-1603541615,1603541618.719,                            0.53,                            0.7001,                            0.64,                            0.6585
model-1603541615,1603541618.756,                            0.63,                            0.6763,                            0.63,                            0.654
model-1603541615,1603541618.791,                            0.62,                            0.6683,                            0.58,                            0.6745
model-1603541615,1603541618.826,                            0.59,                            0.6528,                            0.59,                            0.6467
model-1603541615,1603541618.863,                            0.67,                            0.6464,                            0.6,                            0.6852
model-1603541615,1603541618.897,                            0.54,                            0.6919,                            0.57,                            0.6929
model-1603541615,1603541618.932,                            0.64,                            0.6561,                            0.52,                            0.7113
model-1603541615,1603541618.969,                            0.67,                            0.6106,                            0.56,                            0.6848
model-1603541615,1603541619.003,                            0.6,                            0.6333,                            0.61,                            0.6497
model-1603541615,1603541619.037,                            0.54,                            0.6726,                            0.48,                            0.6973
model-1603541615,1603541619.075,                            0.64,                            0.6338,                            0.62,                            0.6415
model-1603541615,1603541619.11,                            0.58,                            0.6835,                            0.56,                            0.6879
model-1603541615,1603541619.144,                            0.7,                            0.6056,                            0.6,                            0.6533
model-1603541615,1603541619.183,                            0.62,                            0.6723,                            0.63,                            0.6471
model-1603541615,1603541619.217,                            0.51,                            0.7285,                            0.61,                            0.6693
model-1603541615,1603541619.251,                            0.57,                            0.6825,                            0.55,                            0.6705
model-1603541615,1603541619.291,                            0.64,                            0.63,                            0.63,                            0.6288
model-1603541615,1603541619.325,                            0.56,                            0.7189,                            0.59,                            0.7007
model-1603541615,1603541619.36,                            0.58,                            0.6758,                            0.62,                            0.6618
model-1603541615,1603541619.397,                            0.58,                            0.6816,                            0.6,                            0.6801
model-1603541615,1603541619.431,                            0.58,                            0.6521,                            0.71,                            0.6315
model-1603541615,1603541619.466,                            0.58,                            0.6906,                            0.53,                            0.6813
model-1603541615,1603541619.503,                            0.61,                            0.6571,                            0.54,                            0.6796
model-1603541615,1603541619.538,                            0.51,                            0.6964,                            0.62,                            0.6421
model-1603541615,1603541619.572,                            0.59,                            0.6638,                            0.57,                            0.6697
model-1603541615,1603541619.609,                            0.57,                            0.6768,                            0.65,                            0.6489
model-1603541615,1603541619.645,                            0.57,                            0.6821,                            0.63,                            0.6531
model-1603541615,1603541619.681,                            0.49,                            0.6875,                            0.51,                            0.6797
model-1603541615,1603541619.718,                            0.59,                            0.67,                            0.55,                            0.6718
